smiles
Cc1cc(ccc1c2nc(on2)c3ccc(c(c3)C#N)OC(C)C)CCC(=O)O
CC(C)(C)c1ccc(cc1)c2nnc(o2)c3ccccc3N
C[C@](COP(=O)(O)O)(C(=O)Nc1ccc(cc1)OCCc2ccc(cc2)c3ccccc3Cl)N
c1ccc(cc1)/C=C(/CN(C2CCC(CC2)CC3CCC(CC3)N)C(=O)COc4ccc5ccccc5c4)\Cl
c1cc(ccc1c2nc(on2)c3ccc(cc3)[C@H]4CCC(C4)(F)F)[C@H]5CC[C@H](N5)CC(=O)O
CC(C)/N=C\1/N(C(=O)/C(=C/c2ccccc2)/S1)c3ccccc3
CCCN(CCC)c1cc(ncn1)C(=O)Nc2ccc(cc2)O
CS(=O)(=O)N1CCN(CC1)Cc2cc3cccc(c3nc2)Cn4cnc5cc(sc5c4=O)c6ccc(cc6)Cl
C[C@](COP(=O)(O)O)(C(=O)Nc1ccc(cc1)Oc2ccc(cc2)c3ccccc3)N
c1ccc(cc1)c2cc(sc2C(F)(F)F)COc3ccc(cc3)C4CC(CN4)C(=O)O
C[C@](COP(=O)(O)O)(C(=O)Nc1ccc(cc1)OCCCCc2ccc(cc2)OC)N
Cc1cc(ccc1OCc2cc(c(s2)C(F)(F)F)c3ccccc3)CN4CC(C4)C(=O)O
C=CCCn1cc(c(=O)c2c1ccc(c2)c3ccco3)C(=O)NC45CC6CC(C4)CC(C6)C5
CCCCCCCCCCCCCCCNCCCP(=O)(O)O
C[C@](COP(=O)(O)O)(C(=O)Nc1ccc(c(c1)Br)OCCc2ccc(cc2)c3ccccc3)N
C[C@](COP(=O)(O)O)(C(=O)Nc1ccc(c(c1)C(=O)N)OCCc2ccc(cc2)c3ccccc3)N
c1ccc(cc1)N\2C(=O)/C(=C/c3ccc(c(c3)Cl)O)/S/C2=N\C4CCC4
Cc1cc(ccc1c2ncc(o2)c3ccc(c(c3)C#N)OC(C)C)CCC(=O)O
Cc1ccccc1/C=C\2/C(=O)N(/C(=N/C(C)C)/S2)c3ccccc3
