mean,std
-2.776265217,2.902274537
-4.30409,2.81292335
-3.535803333,2.591390313
-2.908581818,3.207829794
-2.989444737,2.83657753
-2.78338,3.244939523
-2.782245,2.93361378
-3.4582,3.0782
-4.1496,2.7794
-2.7917,3.4556
-2.7242,3.4591
-3.2064,3.2854
-3.2755,3.0628
-2.6368,3.381
-3.8659,2.9278
-3.3106,3.1732
-4.5028,2.5559
-3.58,2.9361
-3.4471,3.1769
