GPCR,COMPOUND_ID,ACTIVITY_TYPE,STANDARD_VALUE,smiles
P30968,449373,Ki,-0.67,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)C(F)(F)F)C[C@@H](c3ccccc3)N)c4cccc(c4F)OCCCC(=O)O
P30968,23604,Ki,-2.34,Cc1ccc(cc1)c2c(n(c(=O)n(c2=O)CCN(C)CCc3ccccn3)Cc4c(cccc4F)F)C
P30968,175491,Ki,-1.82,COc1cccc(c1)n2c(=O)n(c(=O)n(c2=O)Cc3c(cccc3F)F)CCC(c4cccc(c4)F)N
P30968,523527,IC50,-1.3,CCc1nc(c(s1)CN2CCN(CC2)c3cccc4c3nc([nH]4)c5ccc(cc5)C(C)(C)C)C
P30968,179691,IC50,-0.38,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)N)c4cccc(c4F)OC
P30968,339636,IC50,0.4,Cc1cc(cc(c1C)C)c2c(c3cc(ccc3nc2O)C(=O)Nc4ccncn4)OCC[C@@H]5CCN5
P30968,193689,IC50,-1.67,CC(C)(C)NC(=O)Nc1ccc2c(c1)nc(n2Cc3ccncc3)SCc4cc(ccc4OC)[N+](=O)[O-]
P30968,430618,Ki,-2.15,Cc1c(c(=O)n(c(=O)n1C(C)c2ccccc2)C[C@@H](c3ccccc3)N)c4ccccc4F.C(=O)(C(F)(F)F)O
P30968,521674,IC50,-0.76,CCn1cnc(c1C)CN2CCN(CC2)c3cccc4c3nc([nH]4)c5ccc(cc5)C(C)(C)C
P30968,176020,Ki,-2.08,COc1ccccc1Cn2c(=O)n(c(=O)n(c2=O)c3cccc(c3F)OC)C[C@@H](c4ccccc4)N
P30968,266420,IC50,-0.45,CC(C)C[C@@H](C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(=O)O)NC(=O)[C@@H](Cc2ccc(cc2)NC(=O)N)NC(=O)[C@H](Cc3ccc(cc3)NC(=O)C(CN)N)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc4cccnc4)NC(=O)[C@@H](Cc5ccc(cc5)Cl)NC(=O)[C@@H](Cc6ccc7ccccc7c6)N
P30968,474991,IC50,-1.08,CC(C)(C)c1ccc(cc1)c2[nH]c3cccc(c3n2)N4CCN(CC4)Cc5ccc6c(c5)nccn6
P30968,360447,Ki,-1.85,COc1cccc(c1)n2c(=O)n(c(=O)n(c2=O)Cc3c(cccc3F)F)CCC(c4ccccc4)N
P30968,495882,Ki,-1.84,c1ccc(cc1)[C@H](Cn2c(=O)c(cn(c2=O)Cc3c(cccc3F)C(F)(F)F)c4ccc(cc4)CO)N
P30968,412581,Ki,-3.34,COc1cccc(c1)n2c(=O)c3c(n(c2=O)Cc4c(cccc4F)F)CN(CC3)CCc5c[nH]c6c5cccc6
P30968,182284,Ki,-4.95,c1ccc(cc1)[C@H](Cn2c(=O)n(c(=O)n(c2=O)c3ccccc3F)Cc4c(cccc4F)F)N
P30968,364933,IC50,-1.52,CC(C)(C)NC(=O)Nc1ccc2c(c1)nc(n2Cc3cccnc3)SCc4cc(ccc4OC)[N+](=O)[O-]
P30968,413239,Ki,-2.98,Cc1ccc(c(c1)C)CN2CCc3c(c(=O)n(c(=O)n3Cc4c(cccc4F)F)CC5CCCCN5Cc6ccccc6)C2
P30968,506338,Ki,-0.97,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)C(F)(F)F)C[C@@H](c3ccccc3)NC)c4cccc(c4F)OCCOCC(=O)O
P30968,333349,Ki,-2.48,Cc1cc2c(cc1Cc3ccc(o3)C(=O)NCC4CCC(CC4)CNc5nc(cc(n5)OC)OC)C(CCC2(C)C)(C)C
Q9Y5N1,270607,Ki,-10,CNCc1cc(ccc1Oc2cccc(c2)Cl)C(=O)N3CCN(CC3)C4CC4
P30968,378979,IC50,0.4,CC(C)C(c1cn(c2c(c1=O)c(c(s2)c3ccc(cc3)NC(=O)C(C)C)CN(C)Cc4ccccc4)Cc5c(cccc5F)F)O
P30968,363663,IC50,0.05,Cc1cc(cc(c1C)C)c2c(c3cc(c(cc3nc2O)Cl)C(=O)Nc4cnsn4)OCC[C@H]5CCO5
P30968,189984,Ki,-2.08,CN(C)S(=O)(=O)c1cccc(c1Cn2cc(c(=O)n(c2=O)C[C@@H](c3ccccc3)N)c4cccc(c4F)OC)F
