GPCR,COMPOUND_ID,ACTIVITY_TYPE,STANDARD_VALUE,smiles
P07550,322130,IC50,-10,CC(C)NCC(CO/N=C\1/c2ccccc2C3C1(CCCC3)OC)O
P32245,238368,Ki,-10,c1ccc(cc1)/C=C(/CN(CC2CCC(CC2)CN)C(=O)CCCc3c[nH]c4c3cccc4)\Cl
P30968,438168,Ki,-2.71,CCNC(=O)Nc1ccc(cc1)c2c(n3c(=O)c(cn(c3n2)Cc4c(cccc4F)F)C(=O)OCC)CN(Cc5ccccc5)CC(=O)N6CCC(CC6)C(=O)NCC#Cc7ccc(cc7)C#CCNC(=O)C8CCN(CC8)C(=O)CN(Cc9ccccc9)Cc1c(nc2n1c(=O)c(cn2Cc1c(cccc1F)F)C(=O)OCC)c1ccc(cc1)NC(=O)NCC
P30968,113455,Ki,-2.38,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CC(C)N(C)CCCOCC(C)C)c3cccc(c3)OC
P30968,21804,IC50,-2.6,CN(Cc1ccccc1)Cc2c3c(=O)n(c(=O)n(c3sc2c4ccc(cc4)OC)Cc5c(cccc5F)F)Cc6ccccc6
P30968,359810,Ki,-0.75,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)N)c4ccccc4F
P30968,420051,IC50,-0.43,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CCC5(CCCC5)CC4)[C@H](C)CNCCCCc6ccncc6)C
P30968,23908,Ki,-2.38,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CCN(C)CCc3ccccn3)c4cccc(c4)C(C)C
P51681,21117,IC50,-10,c1cc(cc(c1)F)[C@H]2CN(C[C@@H]2CN3CCC(CC3)CCC(c4ccc(cc4)F)(F)F)[C@H](CC5CCC5)C(=O)O
P30968,326510,Ki,-3.4,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](C)N)c3cccc(c3)OC
P30968,505033,Ki,-0.11,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)C(F)(F)F)C[C@@H](c3ccccc3)N)c4cccc(c4F)OCCCCCC(=O)O
P30968,251578,IC50,-2.25,Cc1cc(cc(c1)c2c(c3cc(sc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)CCN6CCC(CC6)N7CCOCC7)C
P30968,47791,IC50,-1.51,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N)CCNCCCCc4cccnc4)C
P30968,435793,Ki,-3.38,CCOC(=O)c1cn(c2c(c(c(n2c1=O)CN(C)CCc3ccccn3)c4ccc(cc4)OC)C#N)Cc5cccc(c5F)F
P30968,197089,IC50,-1.49,CCCn1c2c(cc(cc2nc1SCc3cc(ccc3OC)[N+](=O)[O-])NC(=O)NC(C)(C)C)C(=O)NCc4ccccn4
P25100,50490,Ki,-10,c1ccc(cc1)C2(CCN(CC2)CCCNC(=O)N3C(C4=C(COC4=O)NC3=O)c5ccc(c(c5)F)F)c6ccccc6
P14416,64260,Ki,-10,Cc1ccc(c(c1)C(=O)NCCN2CCc3cc(c(cc3C2)OC)OC)OC
P30968,74686,Ki,-1.3,Cc1c(c(=O)n(c(=O)n1Cc2ccccc2F)C[C@@H](c3ccccc3)N)c4ccccc4F.C(=O)(C(F)(F)F)O
P30968,365001,Ki,-1.62,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)N)c4csc(n4)Nc5ccc(cc5)OC
P30556,278305,IC50,-10,CCCCc1nn(c(=O)n1Cc2ccc(cc2)c3ccccc3S(=O)(=O)NC(=O)C(=O)C(C)C)c4ccccc4C(F)(F)F
P30968,468551,Ki,0.3,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)C(F)(F)F)C[C@@H](c3ccccc3)N)c4cccc(c4F)OC
P30968,306431,Ki,-1.67,Cc1c(c(=O)n2c(c(nc2n1Cc3ccccc3F)c4ccc(cc4)OC)CN(C)Cc5ccccc5)c6ccc7c(c6)OCO7
P30968,195516,IC50,-1.9,CC(C)(C)NC(=O)Nc1ccc2c(c1)nc(n2C3CC3)SCc4cc(ccc4OC)[N+](=O)[O-]
P30968,119149,Ki,-1.82,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](Cc3ccccc3)N)c4cccc(c4F)OC
P30968,23256,Ki,-2.51,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)[C@@H](C)CNCc3ccccc3OC)c4cccc(c4)OC
P30968,360934,Ki,-2.15,Cc1c(c(=O)n(c(=O)n1CC2CCCCC2)C[C@@H](c3ccccc3)N)c4ccccc4F
P30968,236127,Ki,-1.23,CN(CCc1ccccn1)CCn2c(=O)c3c(n(c2=O)Cc4c(cccc4F)F)CCN(C3)Cc5ccc(cc5)Cl
P30968,492587,IC50,-1.95,Cc1c(ocn1)CN2CCN(CC2)c3cccc4c3nc([nH]4)c5ccc(cc5)C(C)(C)C
P30556,307008,IC50,-10,CCCc1nc(c(n1Cc2ccc(cc2F)c3ccccc3S(=O)(=O)NC(=O)OCCC)C(=O)OCc4ccccc4c5cccs5)CC
P30968,192955,Ki,0.35,COc1cccc(c1Cl)c2cn(c(=O)n(c2=O)C[C@@H](c3ccccc3)N)Cc4c(cccc4F)C(F)(F)F
P30968,1091209,IC50,-0.63,CC(C)(C)c1ccc(cc1)c2cn3cccc(c3n2)N4CCN(CC4)Cc5c[nH]c(=O)[nH]c5=O
P30968,166843,IC50,-0.38,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)[C@H](C)CNCCCc6cccc7c6cccn7)C
P30968,76277,Ki,-1.88,Cc1c(c(=O)n(c(=O)n1Cc2ccc(cc2)F)C[C@@H](c3ccccc3)N)c4ccccc4F.C(=O)(C(F)(F)F)O
P30968,297269,IC50,-0.36,Cc1cc(cc(c1)c2c(c3cc(c(cc3nc2O)Cl)NC(=O)NC4CC4)OCC[C@@H]5CCCCN5)C
P30968,493931,IC50,-1.46,CCCn1c(c(nc1CC)CN2CCN(CC2)c3cccc4c3nc([nH]4)c5ccc(cc5)C(C)(C)C)C
P30968,332138,IC50,-4,CN(Cc1ccccc1)Cc2c3c(=O)n(c(=O)n(c3sc2c4ccc(cc4)N)Cc5c(cccc5F)F)c6ccccc6
P30968,129010,Ki,-4.7,CCOC(=O)c1cn(c2c(c(c(n2c1=O)CN(C)CCc3ccncc3)c4ccc(cc4)OCC(C)C)C#N)Cc5ccc(cc5F)F
P30968,71917,IC50,0.7,CC(C)C(=O)Nc1ccc(cc1)c2c(c3c(=O)c(cn(c3s2)Cc4c(cccc4F)F)C(=O)OC(C)C)CN(C)Cc5ccccc5
P30968,166778,IC50,0.1,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)[C@H](C)CNCCCc6cc7c(nccn7)nc6)C
P30968,392087,Ki,-3.23,Cc1ccc(c(c1)C)CN2CCc3c(c(=O)n(c(=O)n3Cc4c(cccc4F)F)CC5CCCCN5C)C2
P30968,493185,IC50,-1.63,CCc1cc(nn1C)CN2CCN(CC2)c3cccc4c3nc([nH]4)c5ccc(cc5)C(C)(C)C
P30968,179885,IC50,-2.23,CC(C)(C)NC(=O)NCCc1nc2cc(ccc2n1Cc3ccccc3)S(=O)(=O)NCc4ccc(c(c4)F)F
P30968,513346,Ki,-0.65,COc1cccc(c1Cl)c2c(=O)n(c(=O)n3c2SCC3c4ccccc4F)C[C@@H](c5ccccc5)N
P30968,1201199,IC50,0.1,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccc(cc2)O)NC(=O)[C@H](CO)NC(=O)[C@H](Cc3c[nH]c4c3cccc4)NC(=O)[C@H](Cc5c[nH]cn5)NC(=O)[C@@H]6CCC(=O)N6
P21554,589093,Ki,-10,c1cc(ccc1N2C[C@@H](CC[C@H]2c3ccc(cc3Cl)Cl)S(=O)(=O)N4CCCCC4)Cl
P30968,326606,Ki,-1.9,Cc1cc2c(cc1Cc3ccc(o3)C(=O)NCc4ccc(cc4)CN(C)C)C(CCC2(C)C)(C)C
P30968,405449,Ki,-1.7,CCC(=O)Nc1ccc(cc1)c2cc3c(cc2CN(C)Cc4ccccc4)c(=O)c(cn3Cc5c(cccc5F)F)C(=O)OCC
P30968,512893,IC50,-2.9,c1cc2c(c(c1)N3CCN(CC3)CCOc4cccc5c4[nH]c(=S)[nH]5)nc([nH]2)C(F)(F)F
P30411,346718,IC50,-10,Cc1c(n2cccc(c2n1)OCc3c(ccc(c3Cl)N(C)C(=O)CN(C)C(=O)C)Cl)Br
P30968,487627,IC50,-3.98,c1cc(c2c(c1)nc([nH]2)C(F)(F)F)CN3CCN(CC3)c4cccc5c4nc([nH]5)C(F)(F)F
P30968,21217,IC50,0.7,CCONC(=O)Nc1ccc(cc1)c2c(c3c(=O)n(c(=O)n(c3s2)Cc4c(cccc4F)F)c5ccccc5)CN(C)Cc6ccccc6
P30968,336319,IC50,-1.85,CCOC(=O)c1cn(c2c(c1=O)c(c(s2)c3ccc(cc3)OC)CN(C)Cc4ccccc4)Cc5ccccc5OC
P30968,86912,IC50,0.52,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CC5CCC4CC5)[C@H](C)CNCCc6ccc(nc6)O)C
P30968,74925,Ki,-2.7,Cc1c(c(=O)n(c(=O)n1CC(C)C)C[C@@H](c2ccccc2)N)c3ccccc3F.C(=O)(C(F)(F)F)O
P30968,425524,IC50,-2.26,CC(C)(C)NC(=O)NCCCc1nc2cc(ccc2n1Cc3ccccc3)S(=O)(=O)NCc4ccc(cc4)F
P30968,122064,Ki,-2.81,CN(C)Cc1c2c(=O)n(c(=O)n(c2sc1c3ccc(cc3)[N+](=O)[O-])Cc4c(cccc4F)F)c5ccccc5
P30968,72913,Ki,-3,Cc1c(c(=O)n(c(=O)n1CCc2ccccc2)C[C@@H](c3ccccc3)N)c4ccccc4F.C(=O)(C(F)(F)F)O
P30968,473807,IC50,-0.26,CC(C)(C)c1ccc(cc1)c2[nH]c3cccc(c3n2)N4CCN(CC4)Cc5cc6c([nH]c(=O)c(=O)[nH]6)nc5
Q99705,213761,IC50,-10,c1ccc(cc1)CN2CCC(CC2)NC(=O)c3cc(=O)c4ccc(cc4o3)F
P30968,235046,Ki,-2.78,Cc1ccc(c(c1)C)CN2CCc3c(c(=O)n(c(=O)n3Cc4c(cccc4F)F)CC5CCCN(C5)CCc6ccccn6)C2
P30968,183600,IC50,-2.48,CCOc1nc2cc(ccc2n1Cc3ccccc3)S(=O)(=O)NCc4ccc(cc4)F
P30968,401193,IC50,-2.25,Cc1cc(cc(c1)c2c(c3cc(sc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)CCN6CCN(CC6)CC(=O)N(C)C)C
P30968,508435,Ki,-0.52,c1ccc(cc1)[C@H](Cn2c(=O)c(cn(c2=O)Cc3c(cccc3F)C(F)(F)F)c4ccc(cc4)COC(=O)C5CC5)N
P30968,179600,Ki,-0.56,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@H](C)NC3CCC3)c4cccc(c4F)OC
P30968,308446,Ki,-2.36,CCC(CC)OC(=O)c1cn(c2nc(c(n2c1=O)CN(C)CCc3ccccn3)c4ccc(cc4)OC)Cc5ccccc5F
P30968,16745,Ki,-1.18,CCSc1ccc(cc1)CN2CCc3c(c(=O)n(c(=O)n3Cc4c(cccc4F)F)CCN(C)CCc5ccccn5)C2
P30968,369749,Ki,-5,Cc1c(c(=O)n(c(=O)o1)C[C@@H](c2ccccc2)N)c3ccccc3F
P30968,212207,IC50,-2.3,CCOC(=O)c1cn(c2c(c1=O)c(c(s2)c3ccccc3)CN(C)Cc4ccccc4)Cc5ccccc5OC
P30968,334110,Ki,-2.23,CN(CCOC)Cc1c2c(=O)n(c(=O)n(c2sc1c3ccc(cc3)[N+](=O)[O-])Cc4c(cccc4F)F)c5ccccc5
Q9Y5N1,37737,Ki,-10,c1cc(ccc1CN2CCCCC2)COc3ccc(cc3)C4CCCC4.C(=O)(C(=O)O)O
P30968,379198,IC50,0.4,CCC(=O)Nc1ccc(cc1)c2c(c3c(=O)c(cn(c3s2)Cc4ccccc4)C(=O)OCC)CN(C)Cc5ccccc5
P30968,472117,IC50,-3.18,c1cc2c(c(c1)N3CCN(CC3)CCOc4cccc5c4[nH]c(n5)C(F)(F)F)nc([nH]2)C(F)(F)F
P30968,86758,IC50,0.4,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CC5CCC4CC5)[C@H](C)CNCCC6CCC(=O)N(C6)C)C
P30968,516479,IC50,-0.74,CC(C)(C)c1ccc(cc1)c2[nH]c3cccc(c3n2)N4CCN(CC4)Cc5c[nH]c(=O)[nH]c5=O
P30968,117977,Ki,-1.62,CCOC(=O)c1cn(c2c(c(c(n2c1=O)CN(C)Cc3ccccc3)c4ccc(cc4)OCC(C)C)F)Cc5ccccc5F
P30968,324759,Ki,-2.67,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@H](C)N(C)Cc3ccccn3)c4cccc(c4)OC
P30968,71400,Ki,-1.81,Cc1c(c(=O)n2c(c(nc2n1Cc3ccccc3F)c4ccc(cc4)OC)CN(C)CCc5ccccn5)c6ccccc6OC
P30968,392602,Ki,-1.48,CN(CCc1ccccn1)CCn2c(=O)c3c(n(c2=O)Cc4c(cccc4F)F)CCN(C3)Cc5ccc(cc5)C(F)(F)F
P30968,112461,Ki,-2.74,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)[C@@H](C)CNCc3ccccc3F)c4cccc(c4)OC
P30968,251388,IC50,-2.23,Cc1cc(cc(c1)c2c(c3cc(sc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)CCN6CCC(CC6)C(=O)N7CCCC(C7)O)C
P30968,1800661,IC50,1.05,CN(Cc1ccccn1)Cc2c3c(=O)n(c(=O)n(c3sc2c4ccc(cc4)NC(=O)NOC)Cc5c(cccc5F)F)c6ccccc6
P30968,264806,Ki,-1.15,CC(C)C[C@H]1C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)NCCC(=O)N3CC=C[C@H]3C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1C)Cc4c[nH]c5c4cccc5)Cc6ccc(cc6)O)CO)Cc7c[nH]c8c7cccc8)Cc9ccc(cc9)Cl)CCCN=C(N)N
P30968,304156,Ki,-1.72,CCCC(=O)Nc1ccc(cc1)c2c(n3c(=O)c(cn(c3n2)Cc4ccccc4F)C(=O)OC(CC)CC)CN(C)Cc5cccnc5
P30968,262599,Ki,-2.72,CCNC(=O)Nc1ccc(cc1)c2c(n3c(=O)c(cn(c3n2)Cc4c(cccc4F)F)C(=O)OCC)CN(Cc5ccccc5)CC(=O)NCC(=O)NCC#Cc6ccc(cc6)C#CCNC(=O)CNC(=O)CN(Cc7ccccc7)Cc8c(nc9n8c(=O)c(cn9Cc1c(cccc1F)F)C(=O)OCC)c1ccc(cc1)NC(=O)NCC
P51681,113072,Ki,-10,Cc1cccc(c1C(=O)N2CCC(CC2)(C)N3CCN([C@H](C3)C)[C@@H](C)c4ccc(cc4)S(=O)(=O)C)C
P30968,553990,Ki,-1.94,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CC(C)NC3CCC3)c4cccc(c4F)OC.Cl
P30968,419998,Ki,-0.43,CCCC(=O)Nc1ccc(cc1)c2cc3n(cc(c(=O)n3c2CN(C)CCc4ccccn4)C(=O)OC(CC)CC)Cc5ccccc5F
P41146,372353,IC50,-10,c1ccc2c(c1)CCC23CCN(CC3)CCCNC(=O)C4CC(=O)c5c4cccc5
P30968,509075,Ki,-0.08,COc1cccc(c1F)c2cn(c(=O)n(c2=O)C[C@@H](c3ccccc3)NCCCC(=O)O)Cc4c(cccc4F)C(F)(F)F
P30968,522202,IC50,-1.36,Cc1cc(n(n1)C)CN2CCN(CC2)c3cccc4c3nc([nH]4)c5ccc(cc5)C(C)(C)C
P30968,210709,IC50,1,CCC(=O)Nc1ccc(cc1)c2c(c3c(=O)c(cn(c3s2)Cc4c(cccc4F)F)C(=O)OCC)CN(C)Cc5ccccc5
P30968,265042,IC50,0.22,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CCC5(CC4)OCCO5)[C@H](C)CNCCCCc6ccncc6)C
P30968,49872,Ki,-2.51,CCCCN(C)Cc1c(nc2n1c(=O)c(c(n2Cc3ccccc3F)C)c4cccc(c4)OC)C(C)(C)C(=O)OC
P30968,48249,IC50,-0.59,c1cc(sc1c2c(c3cc(c(cc3nc2O)Cl)C(=O)Nc4ccncn4)OCC[C@@H]5CCCCN5)Cl
P30968,130487,Ki,-2,CCC(CC)OC(=O)c1cn(c2cc(c(n2c1=O)CN(C)Cc3ccccc3)c4ccc(cc4)N)Cc5ccccc5F
P30968,210845,IC50,-2.7,CCOC(=O)c1cn(c2c(c1=O)c(c(s2)c3ccc(cc3)OC)CN(C)C)Cc4ccccc4OC
P30968,367806,Ki,-2.7,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)N)c4csc(n4)c5ccc(cc5)C(C)(C)C
P30968,236332,Ki,-1.93,Cc1ccccc1CN2CCc3c(c(=O)n(c(=O)n3Cc4c(cccc4F)F)CCN(C)CCc5ccccn5)C2
P30968,249772,IC50,-2.12,Cc1cc(cc(c1)c2c(c3cc(sc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)CCN6CCC(CC6)CC(=O)N7CCOCC7)C
P30968,72199,Ki,-2.85,Cc1c(c(=O)n(c(=O)n1Cc2cccnc2)C[C@@H](c3ccccc3)N)c4ccccc4F.C(=O)(C(F)(F)F)O
P30968,259906,Ki,0.21,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)C(F)(F)F)C[C@H](C)NC3CCCC3)c4cccc(c4F)OC
P30968,181864,IC50,-2.94,CCOc1nc2cc(ccc2n1Cc3cccc(c3)Cl)S(=O)(=O)NCc4ccc(cc4)F
P30968,415547,IC50,-0.13,CC(C)C[C@@H](C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(=O)O)NC(=O)[C@@H](Cc2ccc(cc2)Nc3nc([nH]n3)N)NC(=O)[C@H](Cc4ccc(cc4)Nc5nc([nH]n5)N)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc6cccnc6)NC(=O)[C@@H](Cc7ccc(cc7)Cl)NC(=O)[C@@H](Cc8ccc9ccccc9c8)NC(=O)C
P30968,21126,IC50,-0.95,CCC(=O)Nc1ccc(cc1)c2c(c3c(=O)n(c(=O)n(c3s2)Cc4c(cccc4F)F)c5ccccc5)CN(C)Cc6ccccc6
P30968,298982,Ki,-0.08,Cc1c(c(=O)n2c(c(nc2n1Cc3ccccc3F)C(C)(C)C(=O)OC)CN(C)CCc4ccccn4)c5cccc(c5)OC
P30968,196616,IC50,-2.4,CC(C)C(=O)Nc1ccc2c(c1)nc(n2C(C)C)SCc3cc(ccc3OC)[N+](=O)[O-]
P30968,130607,Ki,-3.3,CCOC(=O)c1cn(c2c(c(c(n2c1=O)CN(C)CCc3ccccn3)c4ccc(cc4)OC)C#N)Cc5c(cccc5F)F
Q9Y271,124259,IC50,-10,CN(C)CCSC(c1cccc(c1)/C=C/c2ccc3ccc(cc3n2)Cl)SCCC(=O)O
P30968,48389,Ki,-2.6,Cc1c(c(=O)n2c(c(nc2n1Cc3ccccc3F)C(C)(C)C(=O)OC)CN(C)Cc4cccnc4)c5cccc(c5)OC
P30968,23730,Ki,-2.2,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)[C@H](C)CNCc3ccccc3OC)c4cccc(c4)OC
P35372,377340,Ki,-10,CC(C)(C)c1cccc(c1)c2nncn2c3cccc(c3)O
P30542,368237,Ki,-10,c1cc(cc(c1)OC(F)F)c2c(c(nc(c2C#N)SCCO)N)C#N
P30968,235084,Ki,-3,CN(CCc1ccccn1)CCn2c(=O)c3c(n(c2=O)Cc4c(cccc4F)F)CCN(C3)Cc5ccccc5
P30968,468348,IC50,-3.53,CCSc1nc2cc(ccc2n1Cc3ccccc3)S(=O)(=O)NCc4ccccc4OC
P30968,193740,IC50,-2.08,CCCn1c2c(cc(cc2nc1SCc3cc(ccc3OC)[N+](=O)[O-])NC(=O)NC(C)(C)C)C(=O)NCc4ccccc4
P30968,212472,IC50,-2.48,CCN(Cc1ccccc1)Cc2c3c(=O)c(cn(c3sc2c4ccc(cc4)OC)Cc5ccccc5OC)C(=O)OCC
P30968,179429,Ki,-2.08,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)N(C)C)c4cccc(c4F)OC
P30968,265543,Kd,0.07,CC(C)C[C@@H](C(=O)NC(CCCCNC(C)C)C(=O)N1CCC[C@@H]1C(=O)NCC(=O)N)NC(=O)[C@H](CCCCNc2nc([nH]n2)N)NC(=O)C(CCCCNc3nc([nH]n3)N)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc4cccnc4)NC(=O)[C@H](Cc5ccc(cc5)Cl)NC(=O)[C@@H](Cc6ccc7ccccc7c6)NC(=O)C
P30968,1088866,IC50,-0.83,CCn1cnc(c1C)CN2CCN(CC2)c3cccn4c3nc(c4)c5ccc(cc5)C(C)(C)C
Q9Y5N1,128677,Ki,-10,CC(C1CCCCC1)NC(=O)OCCCc2c[nH]cn2
P30968,361798,Ki,-1.3,Cc1c(c(=O)n(c(=O)n1Cc2ccccc2F)C[C@@H](c3ccccc3)N)c4ccccc4F
P30968,460892,IC50,-0.94,CC(C)(C)c1ccc(cc1)c2[nH]c3cccc(c3n2)N4CCN(CC4)Cc5cccc6c5[nH]c(=O)[nH]6
P30968,236750,Ki,-3.2,COc1cccc(c1)n2c(=O)c3c(n(c2=O)Cc4c(cccc4F)F)CN(CC3)Cc5ccncc5
P30968,411987,IC50,-0.55,CC(C)C[C@@H](C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(=O)O)NC(=O)[C@@H](Cc2ccc(cc2)NC(=O)N)NC(=O)[C@H](Cc3ccc(cc3)NC(=O)C(CCN)N)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc4cccnc4)NC(=O)[C@@H](Cc5ccc(cc5)Cl)NC(=O)[C@@H](Cc6ccc7ccccc7c6)NC(=O)C
P30968,459215,IC50,-0.69,CC(C)(C)c1ccc(cc1)c2[nH]c3cccc(c3n2)N4CCN(CC4)Cc5ccc6c(c5)[nH]c(=O)c(=O)[nH]6
P30968,249771,IC50,-2.44,Cc1cc(cc(c1)c2c(c3cc(sc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)CCN6CCC(CC6)CNC(=O)N7CCOCC7)C
P30968,235051,Ki,-2,CN(CCc1ccccn1)CCn2c(=O)c3c(n(c2=O)Cc4c(cccc4F)F)CCN(C3)Cc5ccc(cc5)OC
P30968,112559,Ki,-1.3,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)[C@H](C)CNCc3cccc(c3)OC)c4cccc(c4)OC
P30968,426060,IC50,-3.76,c1ccc(cc1)Cn2c3ccc(cc3nc2OCCN4CCOCC4)S(=O)(=O)NCc5ccc(cc5)F
P30968,260750,Ki,-2.87,CCNC(=O)Nc1ccc(cc1)c2c(n3c(=O)c(cn(c3n2)Cc4c(cccc4F)F)C(=O)OCC)CN(Cc5ccccc5)CC(=O)N6CCC[C@H]6C(=O)NCC#Cc7ccc(cc7)C#CCNC(=O)[C@@H]8CCCN8C(=O)CN(Cc9ccccc9)Cc1c(nc2n1c(=O)c(cn2Cc1c(cccc1F)F)C(=O)OCC)c1ccc(cc1)NC(=O)NCC
P14416,352925,Ki,-10,c1ccc(cc1)C2=NCC[C@@H](N2)CN3CCN(CC3)c4ccccc4
P30968,393092,Ki,-1.3,c1ccnc(c1)CN2CCC[C@@H]2Cn3c(=O)c4c(n(c3=O)Cc5c(cccc5F)F)CCN(C4)Cc6ccc(cc6)Cl
P30968,114399,Ki,-2.45,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C3CCN(C3)Cc4ccccc4)c5cccc(c5)OC
P30968,180262,Ki,-0.49,Cc1cccc(c1F)c2c(n(c(=O)n(c2=O)C[C@@H](c3ccccc3)N)Cc4c(cccc4F)F)C
P30968,435689,Ki,-1.26,c1ccc(cc1)[C@H](Cn2c(=O)c(cn(c2=O)Cc3c(cccc3F)C(F)(F)F)c4cccc(c4F)O)N
P30968,502967,Ki,-1.43,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)C(F)(F)F)C[C@@H](c3ccccc3)NC)c4cccc(c4F)OCCNCC(=O)O
P30968,399857,IC50,-1.94,Cc1cc(cc(c1)c2c(c3cc(sc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)CCN6CCC(C(C6)C)C(=O)N7CCOCC7)C
P30968,335647,Ki,-0.58,CCCC(=O)Nc1ccc(cc1)c2cc3n(cc(c(=O)n3c2CN(C)Cc4ccccc4)C(=O)OC(CC)CC)Cc5ccccc5F
P35372,236391,Ki,-10,c1ccc(cc1)CNCCc2ccc(cc2)Oc3cc(ccn3)C(=O)N
P35348,142635,Ki,-10,COc1ccccc1N2CCN(CC2)CC(COc3cccc4c3cccc4)O
P30968,444989,Ki,-1.52,c1ccc(cc1)[C@H](Cn2c(=O)c(cn(c2=O)Cc3c(cccc3F)C(F)(F)F)c4cccc(c4F)OCCCCCC(=O)O)N
P30968,114183,Ki,-3.2,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)[C@@H](C)CNCC3CC3)c4cccc(c4)OC
P30968,325942,Ki,-2.74,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CCNCc3ccccn3)c4cccc(c4)OC
P30968,421858,Ki,-3.08,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CCN(C)CCc3ccccn3)c4cccc(c4)F
P30968,407399,Ki,-2.7,CCOC(=O)c1cn(c2c(c(c(n2c1=O)CN(C)CCc3ccccn3)c4ccc(cc4)OC)C#N)Cc5ccccc5F
P30968,433594,IC50,0.26,Cc1cc(cc(c1C)C)c2c(c3cc(c(cc3nc2O)Cl)C(=O)Nc4cnsn4)OCC[C@@H]5CCCCN5
P30968,48316,Ki,-1.86,Cc1c(c(=O)n2c(c(nc2n1Cc3ccccc3F)C(C)(C)C)CN(C)Cc4ccccc4)c5cccc(c5)OC
P21554,95,Ki,-10,c1ccc2c(c1)c(c3c(n2)CCCC3)N
P30968,75439,Ki,-1.52,Cc1c(c(=O)n(c(=O)n1Cc2ccc(cc2Cl)F)C[C@@H](c3ccccc3)N)c4ccccc4F.C(=O)(C(F)(F)F)O
P30968,450414,Ki,-1.54,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)C(F)(F)F)C[C@@H](c3ccccc3)NC)c4cccc(c4F)OCCCN(C)CC(=O)O
P30968,22852,Ki,-4.03,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CCN(C)CCc3ccccn3)c4cc(c(c(c4)OC)OC)OC
P30968,121145,Ki,-1,Cc1cc2c(cc1Cc3ccc(o3)C(=O)NCc4cccc(c4)CNc5ccnc(n5)NC[C@@H]6CCCO6)C(CCC2(C)C)(C)C
